room_type,availability_365,host_is_superhost,cleaning_fee,cost_per_one_night,property_type,accommodates,cancellation_policy,host_identity_verified,bedrooms,number_of_reviews,city,beds,security_deposit,zipcode,minimum_nights,bathroom_per_person,latitude,longitude,bedroom_per_person,price
0.0,295.0,0.0,110.0,89,17.0,2.0,2.0,1.0,1.0,16.0,0.0,1.0,500.0,2026.0,2.0,0.5,-33.89270496,151.2725798,0.5,179.0
0.0,32.0,0.0,100.0,97,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2022.0,2.0,0.5,-33.89062661,151.2450062,0.5,195.0
0.0,152.0,0.0,90.0,120,0.0,5.0,1.0,0.0,2.0,44.0,0.0,3.0,0.0,2026.0,2.0,0.2,-33.8862408,151.2768143,0.4,240.0
0.0,0.0,0.0,50.0,52,0.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,350.0,2026.0,2.0,0.5,-33.88970902,151.2723119,0.5,104.0
0.0,0.0,0.0,150.0,19,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,800.0,2022.0,7.0,0.375,-33.89506602,151.2485677,0.5,139.0
0.0,0.0,0.0,20.0,57,0.0,2.0,1.0,1.0,0.0,76.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.88659927,151.2666057,0.0,115.0
0.0,0.0,0.0,0.0,150,0.0,5.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,2026.0,1.0,0.2,-33.88939279,151.2707962,0.4,150.0
0.0,65.0,1.0,80.0,125,0.0,2.0,1.0,1.0,0.0,111.0,0.0,1.0,145.0,2026.0,1.0,0.5,-33.89478381,151.2648126,0.0,125.0
0.0,153.0,0.0,185.0,72,0.0,4.0,2.0,1.0,2.0,2.0,0.0,2.0,1000.0,2026.0,4.0,0.25,-33.88835443,151.2757912,0.5,290.0
0.0,16.0,0.0,200.0,188,0.0,4.0,1.0,0.0,2.0,72.0,0.0,2.0,6588.0,2026.0,1.0,0.25,-33.89470929,151.2744329,0.5,188.0
0.0,80.0,0.0,0.0,50,0.0,4.0,0.0,0.0,2.0,9.0,0.0,2.0,0.0,2026.0,3.0,0.25,-33.88641899,151.2773818,0.5,150.0
0.0,55.0,0.0,15.0,76,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2026.0,2.0,0.25,-33.89312863,151.273416,0.5,152.0
0.0,316.0,0.0,95.0,125,0.0,9.0,1.0,1.0,2.0,52.0,0.0,6.0,180.0,2026.0,1.0,0.16666666666666666,-33.88561228,151.2792887,0.2222222222222222,125.0
0.0,90.0,0.0,90.0,124,0.0,2.0,1.0,0.0,0.0,28.0,0.0,1.0,150.0,2026.0,1.0,0.5,-33.89112595,151.2734554,0.0,124.0
0.0,129.0,0.0,0.0,185,0.0,2.0,2.0,0.0,1.0,14.0,0.0,1.0,500.0,2026.0,1.0,0.5,-33.88970956,151.262353,0.5,185.0
0.0,89.0,0.0,0.0,26,15.0,6.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2026.0,13.0,0.3333333333333333,-33.88926448,151.265497,0.5,349.0
0.0,0.0,0.0,120.0,55,15.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,1000.0,2026.0,7.0,0.75,-33.89130932,151.267288,0.5,390.0
0.0,0.0,0.0,49.0,55,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.88895879,151.2755555,0.5,110.0
0.0,0.0,0.0,100.0,47,0.0,5.0,2.0,1.0,2.0,3.0,0.0,3.0,500.0,2026.0,3.0,0.2,-33.89293764,151.260246,0.4,142.0
1.0,170.0,1.0,15.0,90,23.0,2.0,2.0,1.0,1.0,125.0,0.0,2.0,0.0,2022.0,1.0,0.5,-33.89549589,151.2459427,0.5,90.0
1.0,0.0,0.0,0.0,14,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2026.0,5.0,0.5,-33.885208,151.2737193,0.5,71.0
0.0,0.0,0.0,35.0,55,0.0,4.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,2026.0,4.0,0.25,-33.89003392,151.2696188,0.5,220.0
0.0,0.0,0.0,50.0,13,0.0,5.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2022.0,10.0,0.2,-33.8930589,151.2545362,0.4,139.0
0.0,60.0,1.0,69.0,159,0.0,4.0,1.0,0.0,1.0,26.0,0.0,1.0,139.0,2026.0,1.0,0.25,-33.88813856,151.2721072,0.25,159.0
1.0,0.0,0.0,0.0,35,0.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,0.0,2026.0,2.0,0.5,-33.88785212,151.2792638,0.5,70.0
0.0,0.0,0.0,80.0,66,0.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,400.0,2026.0,3.0,0.25,-33.89207408,151.2833203,0.5,200.0
0.0,0.0,0.0,35.0,108,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1000.0,2026.0,3.0,0.5,-33.89631918,151.2609329,0.5,325.0
1.0,364.0,0.0,40.0,50,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,150.0,2026.0,3.0,1.0,-33.89339188,151.2647969,1.0,150.0
